Source,Target,Weight
0,36,3
0,7,1
0,40,5
1,20,1
2,7,1
3,33,1
3,14,7
3,28,4
4,11,1
5,42,1
5,43,2
6,26,1
7,2,1
7,0,3
7,27,8
7,40,8
8,14,4
8,39,4
8,3,4
9,23,2
10,20,3
10,5,3
10,9,4
11,16,3
11,4,3
12,15,4
12,14,1
13,5,1
14,15,3
14,17,2
14,12,3
14,3,1
15,14,1
15,2,2
16,32,6
16,22,8
16,11,1
16,19,3
17,2,4
18,17,2
19,32,1
20,1,3
20,10,1
21,29,4
21,42,12
22,35,2
22,20,4
23,9,2
24,29,1
24,28,4
25,3,4
26,2,2
26,6,1
27,22,4
27,10,4
27,41,2
28,14,9
28,32,6
29,24,1
29,5,2
30,26,3
30,37,2
31,14,4
31,12,2
32,38,2
32,19,1
33,3,3
33,32,4
34,7,4
